RMSE,INTERCEPT,INCREASE,A1,OMEGA1,A2,OMEGA2,A3,OMEGA3,A4,OMEGA4
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
133.110696310035,1.980420E+002, 2.171001E-001, 1.500000E+000, 5.000000E-001, 1.500000E+000, 2.486268E-001, 3.936324E+000, 1.000000E-001, 8.096798E+000, 2.575906E-002, 
8.326695860467,1.986182E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.676293E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 7.840244E+000, 5.000000E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
133.095395448406,1.980420E+002, 2.171001E-001, 1.500000E+000, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.936324E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
9.2671719785495,1.986182E+002, 3.323910E-002, 7.695424E-001, 5.000000E-001, 1.676293E+000, 2.486268E-001, 3.930645E+000, 1.000000E-001, 7.840244E+000, 5.000000E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.46885293368131,1.986182E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 2.486268E-001, 3.930645E+000, 6.192571E-002, 7.840244E+000, 2.575906E-002, 
133.440500489747,1.980420E+002, 2.171001E-001, 1.500000E+000, 5.000000E-001, 1.676293E+000, 1.866367E-001, 3.936324E+000, 1.000000E-001, 8.096798E+000, 5.000000E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
133.583521423059,1.986182E+002, 2.171001E-001, 7.695424E-001, 5.000000E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 1.000000E-001, 8.096798E+000, 2.575906E-002, 
8.38264234296099,1.980420E+002, 3.323910E-002, 1.500000E+000, 6.273486E-001, 1.676293E+000, 2.486268E-001, 3.936324E+000, 6.192571E-002, 7.840244E+000, 5.000000E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
2.15607536059972,1.980420E+002, 3.323910E-002, 7.695424E-001, 6.273486E-001, 1.500000E+000, 1.866367E-001, 3.930645E+000, 6.192571E-002, 8.096798E+000, 2.575906E-002, 
